Wavelength (nm),Optical Density,Transmission (%)
847,5.97542,1.06E-04
846,5.76119,1.73E-04
845,5.81725,1.52E-04
844,6.07409,8.43E-05
843,5.93085,1.17E-04
842,6.1816,6.58E-05
841,6.47087,3.38E-05
840,6.76013,1.74E-05
839,7.36437,4.32E-06
838,7.47725,3.33E-06
837,7.47103,3.38E-06
836,7.4648,3.43E-06
835,6.26767,5.40E-05
834,6.31784,4.81E-05
833,6.51131,3.08E-05
832,6.71628,1.92E-05
831,7.11361,7.70E-06
830,7.26769,5.40E-06
829,7.42178,3.79E-06
828,7.27841,5.27E-06
827,6.54014,2.88E-05
826,6.93835,1.15E-05
825,6.33586,4.61E-05
824,6.53976,2.89E-05
823,6.40459,3.94E-05
822,7.32823,4.70E-06
821,7.3778,4.19E-06
820,7.42737,3.74E-06
819,6.60288,2.50E-05
818,6.96067,1.09E-05
817,7.31846,4.80E-06
816,6.9038,1.25E-05
815,6.9383,1.15E-05
814,6.14232,7.21E-05
813,6.23179,5.86E-05
812,6.26083,5.48E-05
811,6.67542,2.11E-05
810,6.5263,2.98E-05
809,6.2035,6.26E-05
808,6.3008,5.00E-05
807,6.36346,4.33E-05
806,6.69015,2.04E-05
805,7.01683,9.62E-06
804,7.4138,3.86E-06
803,7.44991,3.55E-06
802,7.11312,7.71E-06
801,7.171,6.75E-06
800,6.20952,6.17E-05
799,6.36288,4.34E-05
798,6.61745,2.41E-05
797,6.8696,1.35E-05
796,7.31729,4.82E-06
795,7.06423,8.63E-06
794,6.81117,1.54E-05
793,7.23647,5.80E-06
792,7.41279,3.87E-06
791,6.34283,4.54E-05
790,6.44664,3.58E-05
789,6.47081,3.38E-05
788,6.34225,4.55E-05
787,6.59942,2.52E-05
786,6.25059,5.62E-05
785,6.01842,9.58E-05
784,5.80149,1.58E-04
783,5.74906,1.78E-04
782,5.86144,1.38E-04
781,5.89662,1.27E-04
780,6.04967,8.92E-05
779,6.35063,4.46E-05
778,6.48153,3.30E-05
777,6.51578,3.05E-05
776,6.55003,2.82E-05
775,7.23438,5.83E-06
774,6.97094,1.07E-05
773,7.01211,9.72E-06
772,6.78195,1.65E-05
771,7.05818,8.75E-06
770,6.4322,3.70E-05
769,6.85272,1.40E-05
768,7.27324,5.33E-06
767,7.01169,9.73E-06
